Position	Taille	Nom variable CEREMA	Libellés des variables
1	1	DP1	CODE FICHIER=3
2	3	DTIR	SECTEUR DE TIRAGE
5	3	DP2	ZONE FINE DE RESIDENCE
8	4	ECH	NUMÉRO D'ÉCHANTILLON
12	2	PER	NUMÉRO DE LA PERSONNE
14	2	NDEP	N° DÉPLACEMENT
16	2	D2A	MOTIF ORIGINE DU DÉPLACEMENT
18	2	D2B	MOTIF ORIGINE DE LA PERSONNE ACCOMPAGNÉE
20	6	D3	ZONE ORIGINE DU DÉPLACEMENT
26	2	D4A	HEURE DE DÉPART
28	2	D4B	MINUTE DE DÉPART
30	2	D5A	MOTIF DESTINATION DU DÉPLACEMENT
32	2	D5B	MOTIF DE DESTINATION DE LA PERSONNE ACCOMPAGNÉE
34	2	D6	NOMBRE D'ARRÊTS DANS LA TOURNÉE
36	6	D7	ZONE DESTINATION
42	2	D8A	HEURE D'ARRIVÉE
44	2	D8B	MINUTE D'ARRIVÉE
46	3	D8C	DURÉE DU DÉPLACEMENT EN MINUTES
49	1	D9	NOMBRE DE TRAJETS (MODES MECANISES)
50	2	MODP	MODE URBAIN PRINCIPAL
52	2	MOIP	MODE INTERURBAIN PRINCIPAL
54	8	DOIB	DISTANCE VOL OISEAU (en mètres)
62	8	DIST	DiSTANCE PARCOURUE (en mètres)
70	8	DISP	DiSTANCE PARCOURUE dans périmètre (en mètres)
78	1	DFIN	FIN FICHIER DEPLACEMENT
