Position	Taille	Nom variables CEREMA	Libellés des variables
1	1	MP1	CODE FICHIER=1
2	6	ANNE	DATE DE RÉALISATION
8	3	MTIR	SECTEUR DE TIRAGE
11	3	MP2	ZONE FINE DE RESIDENCE
14	4	ECH	NUMÉRO D'ÉCHANTILLON
18	1	M1	TYPE D'HABITAT
19	1	M2	TYPE D'OCCUPATION (le ménage est-il ?)
20	1	M3D	POSSESSION D'UNE CONNEXION INTERNET
21	1	M5	VOITURES PARTICULIERES À DISPOSITION
22	1	M7A1	TYPE D'ÉNERGIE DU VÉHICULE n°1
23	4	M13A	ANNÉE DE PREMIÈRE MISE EN CIRCULATION DU VÉHICULE n°1
27	2	M14A	PUISSANCE FISCALE DU VÉHICULE n°1
29	1	M7B1	TYPE D'ÉNERGIE DU VÉHICULE n°2
30	4	M13B	ANNÉE DE PREMIÈRE MISE EN CIRCULATION DU VÉHICULE n°2
34	2	M14B	PUISSANCE FISCALE DU VÉHICULE n°2
36	1	M7C1	TYPE D'ÉNERGIE DU VÉHICULE n°3
37	4	M13C	ANNÉE DE PREMIÈRE MISE EN CIRCULATION DU VÉHICULE n°3
41	2	M14C	PUISSANCE FISCALE DU VÉHICULE n°3
43	1	M7D1	TYPE D'ÉNERGIE DU VÉHICULE n°4
44	4	M13D	ANNÉE DE PREMIÈRE MISE EN CIRCULATION DU VÉHICULE n°4
48	2	M14D	PUISSANCE FISCALE DU VÉHICULE n°4
50	1	M6	NOMBRE DE DEUX OU TROIS ROUES MOTORISES A DISPOSITION
51	2	M7	NOMBRE DE VELOS A DISPOSITION
53	4	MLA	ANNEE INSTALLATION DANS LE LOGEMENT
57	2	MLB1	PREMIER CRITERE DE CHOIX DE LA RESIDENCE ACTUELLE (sans classement)
59	2	MLB2	DEUXIEME CRITERE DE CHOIX DE LA RESIDENCE ACTUELLE (sans classement)
61	5	MLC	ANCIENNE COMMUNE DE RESIDENCE
66	1	MLD	TYPE D'OCCUPATION DE L'ANCIEN LOGEMENT (le ménage était-il ?)
67	8	COEM	COEFFICIENT DE REDRESSEMENT MENAGE
75	1	MFIN	FIN FICHIER MENAGE
