Position	Taille	Nom variable	Libellés des variables
1	1	PP1	CODE FICHIER=2
2	3	PTIR	SECTEUR DE TIRAGE
5	3	PP2	ZONE FINE DE RESIDENCE
8	4	ECH	NUMÉRO D'ÉCHANTILLON
12	2	PER	NUMÉRO DE LA PERSONNE
14	1	PENQ	PERSONNE INTERROGEE
15	1	PP3	JOUR DES DÉPLACEMENTS
16	1	P1	TYPE DE PERSONNE
17	1	P2	GENRE
18	1	P3	LIEN AVEC LA PERSONNE DE RÉFÉRENCE
19	2	P4	ÂGE DE LA PERSONNE INTERROGÉE
21	1	P5	POSSESSION DU PERMIS DE CONDUIRE
22	1	P6	NIVEAU D'ETUDES
23	1	P7	OCCUPATION PRINCIPALE
24	1	P9	PCS
25	1	P12	TRAVAIL OU ETUDES A DOMICILE
26	6	P13A	LIEU DE TRAVAIL OU D'ETUDES (OCCUPATION PRINCIPALE)
32	1	P15	DISPOSITION D'UNE VOITURE EN GÉNÉRAL (DÉPLACEMENTS DOMICILE TRAVAIL OU ÉTUDES)
33	1	P17	PROBLÈMES DE STATIONNEMENT EN GÉNÉRAL (SUR LIEU DE TRAVAIL OU D'ÉTUDES)
34	1	P17A	DIFFICULTÉS DE STATIONNEMENT SUR OU À PROXIMITÉ DE VOTRE LIEU DE TRAVAIL OU DE VOTRE LIEU D'
35	1	P23A	FRÉQUENCE D'UTILISATION EN SEMAINE : MARCHE A PIED
36	1	P20	FRÉQUENCE D'UTILISATION EN SEMAINE : BICYCLETTE
37	1	P21	FRÉQUENCE D'UTILISATION EN SEMAINE : 2 ROUES À MOTEUR CONDUCTEUR
38	1	P23	FRÉQUENCE D'UTILISATION EN SEMAINE : VOITURE CONDUCTEUR
39	1	P24	FRÉQUENCE D'UTILISATION EN SEMAINE : VOITURE PASSAGER
40	1	P25	FRÉQUENCE D'UTILISATION EN SEMAINE : RESEAUX DE TRANSPORT EN COMMUN (TRAM, BUS, CAR…)
41	1	P19	SITUATION DE LA PERSONNE LA VEILLE
42	1	P19A	SITUATION DES ACTIFS LA VEILLE
43	1	PL27	FRÉQUENCE D'UTILISATION EN SEMAINE : TRAIN
44	1	PL29	FRÉQUENCE D'UTILISATION EN SEMAINE : COVOITURAGE
45	1	PL30	ORGANISATION DU COVOITURAGE
46	6	DP13	Distance DOMICILE-TRAVAIL
52	8	COEP	COEFFICIENT DE REDRESSEMENT TOUTES PERSONNES
60	8	COEQ	COEFFICIENT DE REDRESSEMENT PERSONNES ENQUETEES
68	1	PFIN	FIN FICHIER PERSONNE
