Position	Taille	Nom variable CEREMA	Libellés des variables
1	1	TP1	CODE FICHIER=4
2	3	TTIR	SECTEUR DE TIRAGE
5	3	TP2	ZONE FINE DE RESIDENCE
8	4	ECH	NUMÉRO D'ÉCHANTILLON
12	2	PER	NUMÉRO DE LA PERSONNE
14	2	NDEP	N° DÉPLACEMENT
16	1	T1	NUMÉRO DU TRAJET
17	2	T2	TEMPS DE MARCHE À PIED AU DÉPART
19	2	T3	MODE UTILISE
21	6	T4	ZONE FINE DE DÉPART DU MODE MÉCANISÉ
27	6	T5	ZONE FINE D'ARRIVÉE DU MODE MÉCANISÉ
33	2	T6	TEMPS DE MARCHE À PIED A L'ARRIVEE
35	1	T7	NUMÉRO DU VÉHICULE
36	1	T8	NOMBRE D'OCCUPANTS
37	1	T8B	NOMBRE DE PASSAGERS MAJEURS (HORS CONDUCTEUR)
38	1	T9	LIEU DE STATIONNEMENT
39	1	T10	NATURE DU STATIONNEMENT
40	2	T11	DURÉE DE RECHERCHE DU STATIONNEMENT
42	8	TOIS	DISTANCE VOL OISEAU TRAJET (m)
50	8	TDIS	DISTANCE PARCOURUE TRAJET (en mètres)
58	8	TDIP	DISTANCE PARCOURUE TRAJET DS PERIMETRE (en mètres)
66	8	TDMO	DISTANCE PARCOURUE A PIED AU DEPART
74	8	TDMD	DISTANCE PARCOURUE A PIED A L ARRIVEE
82	1	TFIN	FIN FICHIER TRAJET
